Month,M,Day,Year,Date,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate,UE_rate_raw,
Jan,1,1,2010,1/1/2010,65.1,58.3,4792496,4289733,502763,10.5,0.105,
Feb,2,1,2010,2/1/2010,63.8,57,4699011,4199161,499850,10.6,0.106,
Mar,3,1,2010,3/1/2010,63.4,56.7,4674480,4179456,495024,10.6,0.106,
Apr,4,1,2010,4/1/2010,64.2,57.4,4669893,4179931,489962,10.5,0.105,
May,5,1,2010,5/1/2010,64.1,57.5,4670823,4185382,485441,10.4,0.104,
Jun,6,1,2010,6/1/2010,64.1,57.5,4673422,4190456,482966,10.3,0.103,
Jul,7,1,2010,7/1/2010,64.1,57.4,4677782,4193763,484019,10.3,0.103,
Aug,8,1,2010,8/1/2010,64.1,57.4,4684376,4195887,488489,10.4,0.104,
Sep,9,1,2010,9/1/2010,64.1,57.4,4691739,4197433,494306,10.5,0.105,
Oct,10,1,2010,10/1/2010,64.2,57.3,4698737,4199836,498901,10.6,0.106,
Nov,11,1,2010,11/1/2010,64.2,57.3,4704274,4203785,500489,10.6,0.106,
Dec,12,1,2010,12/1/2010,64.2,57.4,4708131,4209434,498697,10.6,0.106,
Jan,1,1,2011,1/1/2011,64.2,57.4,4711909,4216993,494916,10.5,0.105,
Feb,2,1,2011,2/1/2011,64.2,57.5,4716445,4225541,490904,10.4,0.104,
Mar,3,1,2011,3/1/2011,64.2,57.6,4721391,4233713,487678,10.3,0.103,
Apr,4,1,2011,4/1/2011,64.2,57.6,4727041,4240677,486364,10.3,0.103,
May,5,1,2011,5/1/2011,64.3,57.6,4734686,4246820,487866,10.3,0.103,
Jun,6,1,2011,6/1/2011,64.3,57.7,4744120,4253512,490608,10.3,0.103,
Jul,7,1,2011,7/1/2011,64.4,57.7,4754219,4262111,492108,10.4,0.104,
Aug,8,1,2011,8/1/2011,64.5,57.8,4763808,4272812,490996,10.3,0.103,
Sep,9,1,2011,9/1/2011,64.5,57.9,4771878,4284901,486977,10.2,0.102,
Oct,10,1,2011,10/1/2011,64.5,58,4778084,4297025,481059,10.1,0.101,
Nov,11,1,2011,11/1/2011,64.5,58.1,4781837,4307505,474332,9.9,0.099,
Dec,12,1,2011,12/1/2011,64.4,58.1,4783117,4315397,467720,9.8,0.098,
Jan,1,1,2012,1/1/2012,64.4,58.1,4783176,4321220,461956,9.7,0.097,
Feb,2,1,2012,2/1/2012,64.3,58.2,4784093,4326397,457696,9.6,0.096,
Mar,3,1,2012,3/1/2012,64.3,58.2,4786203,4331046,455157,9.5,0.095,
Apr,4,1,2012,4/1/2012,64.2,58.1,4787780,4334976,452804,9.5,0.095,
May,5,1,2012,5/1/2012,64.2,58.1,4788509,4339280,449229,9.4,0.094,
Jun,6,1,2012,6/1/2012,64.1,58.1,4788789,4344755,444034,9.3,0.093,
Jul,7,1,2012,7/1/2012,64,58.2,4788888,4351369,437519,9.1,0.091,
Aug,8,1,2012,8/1/2012,64,58.2,4789528,4358490,431038,9,0.090,
Sep,9,1,2012,9/1/2012,63.9,58.2,4791180,4365122,426058,8.9,0.089,
Oct,10,1,2012,10/1/2012,63.9,58.2,4791998,4369522,422476,8.8,0.088,
Nov,11,1,2012,11/1/2012,63.8,58.2,4790509,4370629,419880,8.8,0.088,
Dec,12,1,2012,12/1/2012,63.7,58.1,4786110,4368574,417536,8.7,0.087,
Jan,1,1,2013,1/1/2013,63.6,58.1,4784092,4368873,415219,8.7,0.087,
Feb,2,1,2013,2/1/2013,63.5,58,4776080,4363850,412230,8.6,0.086,
Mar,3,1,2013,3/1/2013,63.3,57.9,4769314,4361032,408282,8.6,0.086,
Apr,4,1,2013,4/1/2013,63.2,57.9,4765488,4362061,403427,8.5,0.085,
May,5,1,2013,5/1/2013,63.1,57.9,4763632,4365206,398426,8.4,0.084,
Jun,6,1,2013,6/1/2013,63.1,57.8,4761816,4368131,393685,8.3,0.083,
Jul,7,1,2013,7/1/2013,63,57.8,4758794,4369634,389160,8.2,0.082,
Aug,8,1,2013,8/1/2013,62.8,57.7,4753285,4369676,383609,8.1,0.081,
Sep,9,1,2013,9/1/2013,62.7,57.7,4745704,4369134,376570,7.9,0.079,
Oct,10,1,2013,10/1/2013,62.5,57.6,4739064,4369491,369573,7.8,0.078,
Nov,11,1,2013,11/1/2013,62.4,57.6,4735656,4372080,363576,7.7,0.077,
Dec,12,1,2013,12/1/2013,62.3,57.6,4735546,4376785,358761,7.6,0.076,
Jan,1,1,2014,1/1/2014,62.1,57.5,4726956,4373230,353726,7.5,0.075,
Feb,2,1,2014,2/1/2014,62.1,57.5,4729303,4379438,349865,7.4,0.074,
Mar,3,1,2014,3/1/2014,62.1,57.5,4731773,4384441,347332,7.3,0.073,
Apr,4,1,2014,4/1/2014,62.1,57.5,4733556,4387243,346313,7.3,0.073,
May,5,1,2014,5/1/2014,62,57.5,4734814,4389356,345458,7.3,0.073,
Jun,6,1,2014,6/1/2014,62,57.5,4736889,4393203,343686,7.3,0.073,
Jul,7,1,2014,7/1/2014,61.9,57.5,4739528,4399189,340339,7.2,0.072,
Aug,8,1,2014,8/1/2014,61.9,57.5,4742889,4407516,335373,7.1,0.071,
Sep,9,1,2014,9/1/2014,61.9,57.6,4746854,4417659,329195,6.9,0.069,
Oct,10,1,2014,10/1/2014,61.8,57.6,4749902,4428148,321754,6.8,0.068,
Nov,11,1,2014,11/1/2014,61.8,57.7,4751105,4437331,313774,6.6,0.066,
Dec,12,1,2014,12/1/2014,61.7,57.7,4752078,4445016,307062,6.5,0.065,
Jan,1,1,2015,1/1/2015,61.6,57.7,4748803,4445723,303080,6.4,0.064,
Feb,2,1,2015,2/1/2015,61.6,57.7,4751772,4451188,300584,6.3,0.063,
Mar,3,1,2015,3/1/2015,61.6,57.7,4755537,4456948,298589,6.3,0.063,
Apr,4,1,2015,4/1/2015,61.5,57.7,4759405,4463390,296015,6.2,0.062,
May,5,1,2015,5/1/2015,61.5,57.7,4762195,4469733,292462,6.1,0.061,
Jun,6,1,2015,6/1/2015,61.4,57.7,4763178,4475201,287977,6,0.060,
Jul,7,1,2015,7/1/2015,61.4,57.7,4763659,4480434,283225,5.9,0.059,
Aug,8,1,2015,8/1/2015,61.3,57.7,4765560,4486687,278873,5.9,0.059,
Sep,9,1,2015,9/1/2015,61.3,57.8,4770601,4495676,274925,5.8,0.058,
Oct,10,1,2015,10/1/2015,61.3,57.9,4780898,4509137,271761,5.7,0.057,
Nov,11,1,2015,11/1/2015,61.5,58,4796810,4526995,269815,5.6,0.056,
Dec,12,1,2015,12/1/2015,61.6,58.2,4815799,4547331,268468,5.6,0.056,
Jan,1,1,2016,1/1/2016,61.8,58.4,4834723,4567840,266883,5.5,0.055,
Feb,2,1,2016,2/1/2016,61.9,58.5,4851945,4586811,265134,5.5,0.055,
Mar,3,1,2016,3/1/2016,62,58.7,4866685,4603473,263212,5.4,0.054,
Apr,4,1,2016,4/1/2016,62.1,58.8,4879584,4618035,261549,5.4,0.054,
May,5,1,2016,5/1/2016,62.2,58.9,4892540,4631611,260929,5.3,0.053,
Jun,6,1,2016,6/1/2016,62.3,59,4906531,4644985,261546,5.3,0.053,
Jul,7,1,2016,7/1/2016,62.4,59.1,4921529,4658552,262977,5.3,0.053,
Aug,8,1,2016,8/1/2016,62.5,59.2,4936866,4671982,264884,5.4,0.054,
Sep,9,1,2016,9/1/2016,62.6,59.2,4951558,4684588,266970,5.4,0.054,
Oct,10,1,2016,10/1/2016,62.7,59.3,4964333,4696231,268102,5.4,0.054,
Nov,11,1,2016,11/1/2016,62.8,59.4,4975347,4708188,267159,5.4,0.054,
Dec,12,1,2016,12/1/2016,62.8,59.5,4985686,4721455,264231,5.3,0.053,
Jan,1,1,2017,1/1/2017,62.9,59.6,4996271,4736145,260126,5.2,0.052,
Feb,2,1,2017,2/1/2017,63,59.8,5007182,4751931,255251,5.1,0.051,
Mar,3,1,2017,3/1/2017,63,59.9,5017944,4767674,250270,5,0.050,
Apr,4,1,2017,4/1/2017,63.1,60,5029137,4783506,245631,4.9,0.049,
May,5,1,2017,5/1/2017,63.2,60.2,5040587,4799555,241032,4.8,0.048,
Jun,6,1,2017,6/1/2017,63.2,60.3,5051610,4814938,236672,4.7,0.047,
Jul,7,1,2017,7/1/2017,63.3,60.4,5061746,4828823,232923,4.6,0.046,
Aug,8,1,2017,8/1/2017,63.3,60.5,5069767,4840222,229545,4.5,0.045,
Sep,9,1,2017,9/1/2017,63.3,60.5,5075111,4848794,226317,4.5,0.045,
Oct,10,1,2017,10/1/2017,63.3,60.5,5078141,4854838,223303,4.4,0.044,
Nov,11,1,2017,11/1/2017,63.3,60.5,5079195,4858501,220694,4.3,0.043,
Dec,12,1,2017,12/1/2017,63.2,60.5,5079132,4861087,218045,4.3,0.043,
Jan,1,1,2018,1/1/2018,63.1,60.5,5079500,4864151,215349,4.2,0.042,
Feb,2,1,2018,2/1/2018,63.1,60.5,5081503,4868724,212779,4.2,0.042,
Mar,3,1,2018,3/1/2018,63.1,60.5,5084498,4874374,210124,4.1,0.041,
Apr,4,1,2018,4/1/2018,63,60.5,5085773,4878845,206928,4.1,0.041,
May,5,1,2018,5/1/2018,62.9,60.4,5083973,4880642,203331,4,0.040,
Jun,6,1,2018,6/1/2018,62.8,60.4,5080086,4880535,199551,3.9,0.039,
Jul,7,1,2018,7/1/2018,62.7,60.3,5075575,4879741,195834,3.9,0.039,
Aug,8,1,2018,8/1/2018,62.6,60.2,5072981,4879769,193212,3.8,0.038,
Sep,9,1,2018,9/1/2018,62.5,60.2,5073808,4881688,192120,3.8,0.038,
Oct,10,1,2018,10/1/2018,62.5,60.1,5077828,4885507,192321,3.8,0.038,
Nov,11,1,2018,11/1/2018,62.5,60.1,5083564,4890498,193066,3.8,0.038,
Dec,12,1,2018,12/1/2018,62.5,60.1,5088671,4895143,193528,3.8,0.038,
Jan,1,1,2019,1/1/2019,62.5,60.1,5091021,4898096,192925,3.8,0.038,
Feb,2,1,2019,2/1/2019,62.4,60.1,5089643,4898884,190759,3.7,0.037,
Mar,3,1,2019,3/1/2019,62.3,60,5086452,4898827,187625,3.7,0.037,
Apr,4,1,2019,4/1/2019,62.2,60,5084588,4900389,184199,3.6,0.036,
May,5,1,2019,5/1/2019,62.2,60,5086318,4905393,180925,3.6,0.036,
Jun,6,1,2019,6/1/2019,62.2,60,5092563,4914704,177859,3.5,0.035,
Jul,7,1,2019,7/1/2019,62.3,60.1,5104207,4929889,174318,3.4,0.034,
Aug,8,1,2019,8/1/2019,62.3,60.3,5117470,4947459,170011,3.3,0.033,
Sep,9,1,2019,9/1/2019,62.4,60.4,5129851,4964375,165476,3.2,0.032,
Oct,10,1,2019,10/1/2019,62.4,60.5,5138363,4976473,161890,3.2,0.032,
Nov,11,1,2019,11/1/2019,62.4,60.4,5138942,4977732,161210,3.1,0.031,
Dec,12,1,2019,12/1/2019,62.3,60.3,5137642,4975936,161706,3.1,0.031,
Jan,1,1,2020,1/1/2020,62.4,60.4,5147616,4988005,159611,3.1,0.031,
Feb,2,1,2020,2/1/2020,62.4,60.5,5156201,4995066,161135,3.1,0.031,
